Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Pa-Marituba;831;786;1241;879;329;682;836;502;418;264;226;298;231;164;87;108;156;143;67;120;8368
Pa-Medicilandia;2;4;15;50;6;11;26;11;1;0;1;1;0;0;0;2;1;0;10;14;155
Pa-Melgaco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Mocajuba;3;3;4;2;1;2;3;2;0;2;16;10;9;0;0;0;0;5;0;0;62
Pa-Moju;61;20;22;78;24;70;38;152;164;39;18;57;19;1;87;12;25;0;34;3;924
Pa-Mojui dos Campos;1;2;1;6;0;3;5;5;4;0;0;0;0;0;0;0;0;0;0;0;27
Pa-Monte Alegre;30;21;11;13;14;10;7;20;28;30;13;13;12;7;128;84;2;2;0;0;445
Pa-Muana;0;0;0;0;2;2;6;11;0;0;0;0;0;0;0;0;0;0;0;0;21
Pa-Nova Esperanca do Piria;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4
Pa-Nova Ipixuna;1;0;0;0;0;29;26;36;33;26;26;0;0;0;0;0;0;1;1;1;180
Pa-Nova Timboteua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Novo Progresso;31;20;29;161;129;83;24;19;134;11;133;302;68;8;9;28;21;9;13;1;1233
Pa-Novo Repartimento;32;37;24;110;65;49;132;143;379;195;47;28;11;3;24;60;29;2;14;36;1420
Pa-Obidos;940;197;6;17;4;0;4;33;2;2;31;5;2;1;4;1;1;1;1;0;1252
Pa-Oeiras do Para;0;0;2;0;0;0;0;2;7;4;3;0;0;0;11;9;0;0;0;0;38
Pa-Oriximina;710;828;866;316;762;584;509;122;403;488;389;766;503;560;763;516;295;248;271;2033;11932
Pa-Ourem;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;4;0;9
Pa-Ourilandia do Norte;21;6;2;5;5;43;65;148;72;112;379;1533;954;1990;1587;691;3;0;0;0;7616
Pa-Pacaja;46;65;72;52;102;36;2;8;26;28;86;41;9;18;2;3;8;5;3;14;626
Pa-Palestina do Para;0;3;3;7;12;24;18;7;0;0;0;0;0;0;0;0;0;0;0;0;74
Pa-Paragominas;1472;1449;1413;800;2286;877;735;1446;958;2689;2618;2017;766;862;901;1232;1370;251;118;15;24275
Pa-Parauapebas;15027;12591;9199;5802;4634;6248;5924;7668;6956;13546;9813;8187;8041;8890;2948;2447;2999;3618;1749;1880;138167
Pa-Pau D Arco;0;0;2;3;2;14;36;9;3;0;0;1;1;1;1;1;0;0;0;0;74
Pa-Peixe-Boi;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;1;1;0;0;0;8
